question,anser,c1,c2,c3
宝塚歌劇団の4つのくみといったら「つき」「ほし」「ゆき」とあと1つは？,はな,さくら,ゆめ,はな
「ほたるのひかり」はどこの国の民謡？,スコットランド,スコットランド,ドイツ,ロシア
救助犬として有名なセントバーナドの原産地は？,スイス,スイス,ドイツ,イギリス
サボテンのトゲは何が変化したもの？,は,は,はな,ね
宮本武蔵と佐々木小次郎が決闘したがんりゅうじまは何県にある？,やまぐちけん,たかやまけん,やまぐちけん,えひめけん
上から呼んでも下から読んでも同じ文といえば？,かいぶん,おうふくぶん,かいぶん,ぎゃくぶん
「はりくよう」をする日は？,2がつ8か,2がつ8か,3がつ8か,4がつ8か
民謡「ソーランぶし」の中にでてくる合いの手は？,ドッコイショドッコイショ,ドッコイショドッコイショ,アーソレソレ,チョイナチョイナ
自動車の名前に使われているのは？,パンダ,ラッコ,パンダ,ビーバー
初代ウルトラマンが負けてしまった敵は？,ゼットン,ゼットン,バルタンせいじん,レッドキング
おぼうさんがかぶる頭巾をなんという？,もうす,ほっかむり,つのかくし,もうす
東京ディズニーランドにないのは？,ムーンサルトスクランブル,ビッグサンダーマウンテン,ホーンデッドマウンテン,ムーンサルトスクランブル
次のうち食べられるのは？,いまがわやき,ありたやき,びぜんやき,いまがわやき
もっとも古い作品は？,7にんのさむらい,うちゅうの7にん,こうやの7にん,7にんのさむらい
動物が主人公の物語は？,さんげつき,さんげつき,ほうじょうき,さんごくし
ギネスブックが世界1の大泥棒と認めたのは？,マルクス,アミン,サダト,マルクス
ビールのおつまみ「枝豆」とはなんの豆？,だいず,あずき,だいず,エンドウマメ
気象衛星「ひまわり」はどこにある？,せきどうじょうくう,ほっきょくてんじょうくう,とうきょうじょうくう,せきどうじょうくう
してもらうと気持ちがいいのは？,ひざまくら,ひざぐるま,ひざおくり,ひざまくら
ウグイスの卵の色は？,チョコレートいろ,チョコレートいろ,ミルクいろ,ウグイスいろ
バレンタインデーのキャンペーンを最初に行ったのは？,もりなが,グリコ,もりなが,ふじや
ひとりのゴルフプレーヤーが1ラウンドに使えるクラブは？,14ほん,9ほん,14ほん,19ほん
室町時代から日本人が食べていたのは？,うなぎのかばやき,うなぎのかばやき,てんぷら,にぎりずし
えらを持っているものは？,ヤゴ,ヤゴ,クジラ,ボウフラ
スピーカーのメーカーは？,ボーズ,ボーズ,シンプ,カンヌシ
アマゾン川の河口の幅は？,とうきょう-はままつかん,とうきょう-おだわらかん,とうきょう-はままつかん,とうきょう-はかたかん
本当にあった戦いは？,アンゴラのたたかい,カシミアのたたかい,ウールのたたかい,アンゴラのたたかい
ノーベル賞を受賞したのは？,ルーズベルトだいとうりょう,リンカーンだいとうりょう,ケネディだいとうりょう,ルーズベルトだいとうりょう
フォークダンスの曲名は？,オクラホマミキサー,コンクリートミキサー,オクラホマミキサー,ジューサーミキサー
ラグビーでボールを前に落とす反則は？,ノックオン,ノックオン,スローフォワード,ノットストレート
アメリカで売れている一人用冷凍食品は？,TVディナー,ラジオディナー,TVディナー,CDディナー
チャップリンの映画は？,イヌのせいかつ,イヌのせいかつ,ネコのにっか,ブタのにちじょう
体の部分で「きめる」「くくる」「たてる」「すえる」「わる」といえばどこ？,はら,はら,せなか,かお
のりまきにかかせないカンピョウの実がなるのは？,ゆうがお,あさがお,ひるがお,ゆうがお
ゴジラが今まで対決していない怪獣は？,ギャオス,モスラ,ギャオス,キングギドラ
韓国にあるプロ野球チームは？,ロッテジャイアンツ,ロッテタイガーズ,ロッテドラゴンズ,ロッテジャイアンツ
クリプトン星からやってきたスーパーマンの本名は？,カル エル,カル エス,カル エム,カル エル
のりで貼るのは？,ステッカー,ステッカー,ストックカー,スピーカー
333メートルの東京タワー特別展望台は地上何メートル？,250メートル,200メートル,250メートル,300メートル
日本でもっとも小さいとされているトンボは？,はっちょうトンボ,いっちょうトンボ,はっちょうトンボ,じゅっちょうトンボ
競争距離が一番長い競馬は？,てんのうしょう,ダービー,ありまきねん,てんのうしょう
海と繋がっている湖は？,はまなこ,びわこ,とわだこ,はまなこ
日本の家にある柱は？,えびすばしら,べんてんばしら,えびすばしら,ほていばしら
もっとも歴史が浅い泳ぎかたは？,バタフライ,ひらおよぎ,バタフライ,せおよぎ
国立大学はどれ？,あきただいがく,あきただいがく,ふくおかだいがく,ならだいがく
テニスのボレーをヒントに考案されたスポーツは？,バレーボール,バスケットボール,バレーボール,ハンドボール
「顔」に含まれる部分は？,あご,ひたい,あご,みみ
ロシア語の「ソレイユ」ってどんな意味？,ひまわり,じんこうえいせい,ひまわり,おつきさま
原料が植物のプラスチックは？,セルロイド,ベークライト,ポリエチレン,セルロイド
郵便局の初めのころの呼び名は？,ゆうびんやくしょ,ゆうびんちょう,ゆうびんこうしゃ,ゆうびんやくしょ
孫悟空は「如意棒」をどこで手に入れた？,りゅうぐううじょう,おにがしま,カチカチやま,りゅうぐううじょう
ウナギの養殖で有名な湖は？,はまなこ,とわだこ,はまなこ,びわこ
童謡「あかいくつ」で女の子はどこの港から船に乗った？,よこはま,こうべ,ながさき,よこはま
16世紀に「太陽が沈まない国」と呼ばれたのは？,スペイン,イギリス,スペイン,ポルトガル
まな板の材料として最適なのは？,ヤナギ,ヒノキ,スギ,ヤナギ
地図で同じ高さのところを結んだ線は？,とうこうせん,とうこうせん,とういせん,とうじょうせん
たはらとしひこのデビュー曲は？,あいしゅうでいと,はらじゅくキッス,あいしゅうでいと,きみにけってい
メキシコ、南米諸国のカウボーイがかぶる帽子は？,ソンブンロ,チロリアンハット,ベレー,ソンブンロ
海に生息しているのは？,カブトエビ,カブトガニ,カブトエビ,カブトムシ
アメリカ大リーグでタイガースといえば？,デトロイト,サンフランシスコ,ロサンジェルス,デトロイト
童謡「ゆうやけ、こやけ」。一緒に帰ろうと言われたのは？,カラス,カラス,トンビ,スズメ
短期間に入院して全身の精密検査をうけることを？,にんげんドック,にんげんタンク,にんげんドック,にんげんバンク
陸上競技の3段とび英語で言うと？,トリプルジャンプ,ワンツージャンプ,トリプルジャンプ,サードジャンプ
「かけおち」とは本来何に負けて逃げること？,たたかいのまけて,たたかいのまけて,バクチにまけて,すもうにまけて
毛織物に適する洗い方は？,おしつけあらい,てもみあらい,おしつけあらい,へらあらい
マッチの軸にしみこませてあるのは？,パラフィン,アセチン,ゼラチン,パラフィン
札幌市にある平野は？,いしかりへいや,ひだかへいや,おびひろげへいや,いしかりへいや
美しい手に例えられるのは？,しらうお,しらうお,しらさぎ,しるゆり
カーニバルで有名な都市は？,リオデジャネイロ,ロサンゼルス,アカプルコ,リオデジャネイロ
ハーモニカで吸って音を出すのは？,レ,ド,レ,ミ
ガラスをきるとき使うのは？,ダイヤモンド,ルビー,エメラルド,ダイヤモンド
人力車が発明されたのは？,めいじじだい,かまくらじだい,えどじだい,めいじじだい
耳かざりをしている仏像は？,ぼさつ,しゃか,にょらい,ぼさつ
「少年よ大志を抱け」のクラーク博士はどもの国の人？,アメリカ,アメリカ,ドイツ,フランス
近代オリンピック聖火リレーがとりいれられたのは？,だい9かい,だい1かい,だい9かい,だい11かい
花札の絵柄にないものはどれ？,たけ,まつ,たけ,うめ
人間の耳の奥にあるのは？,かたつむりかん,かたつむりかん,なめくじかん,みみずかん
日本のエレベーター表示で屋上を表すのは？,R,B,M,R
缶詰についているマークは？,JAS,JIS,JAS,JAL
つぎのうちオニがでてこない童話は？,たけとりものがたり,いっすんぼうし,たけとりものがたり,おもたろう
日本で最も長い山脈は？,おううさんみゃく,おううさんみゃく,ちゅうごくさんみゃく,ひださんみゃく
紅茶にレモンをいれると色はどうなる？,うすくなる,うすくなる,こくなる,かわらない
人間の体の中でもっとも重い臓器は？,かんぞう,かんぞう,はいぞう,しんぞう
ふつう正月から数えて最初の行事に食べるお菓子は？,ひしもち,おはぎ,かしわもち,ひしもち
ウサギはふつうなんと数える？,1わ,1ぴき,1わ,1とう
ジンギスカン料理とはなんの肉料理？,ヒツジ,ウマ,ヒツジ,ウシ
農協の正式名称は？,のうぎょうきょうどうくみあい,のうみんきょうどうくみあい,のうかきょうどうそしき,のうぎょうきょうどうくみあい
アルキメデスが「テコ」を使って動かせると言ったのは？,ちきゅう,ちきゅう,つき,たいよう
消化するのに一番長く時間がかかるのは？,うどん,パン,ごはん,うどん
次の３つの言葉のうち「ボクシング」と「マージャン」に共通するものは？,リーチ,リーチ,ポン,ロン
ナポレオンが死んだ島は？,セントヘレナとう,エルバとう,コルシカとう,セントヘレナとう
次のうち実在する植物は？,イランイラン,ヤロウヤロウ,イランイラン,ホシイホシイ
アメリカ大リーグで「マネージャー」といえば日本のなににあたる？,かんとく,きゅうだんだいひょう,かんとく,スカウト
アーチェリーの標的でもっとも得点が高いのは何色の部分？,きいろ,あか,あお,きいろ
今まで世界で一番長い裁判は何年間続いた？,700ねん,70ねん,700ねん,7000ねん
江戸時代みずでっぽうといったら次のうちなに？,しょうぼうようポンプ,いどようポンプ,すいでんようポンプ,しょうぼうようポンプ
ブタにくのうち一番やわらかいのは？,ヒレ,ももにく,ヒレ,かたロース
アリは1日のうちどのくらいはたらく？,1にちの3ぶんの1,1にちの3ぶんの1,はんにち,1にちじゅう
日本のニワトリはコケコッコー中国ではこれをどう表現する？,オーオーオー,カーカーカー,コーコーコー,オーオーオー
聖書に一番よくでてくる動物は？,ヒツジ,イヌ,ブタ,ヒツジ
九州で一番面積が広い島は？,かごしまけん,かごしまけん,みやざきけん,ふくおかけん
次のうち琵琶湖より小さい島は？,あわじしま,さわたりじま,あわじしま, あまみおおしま
英語で「カツラ」のことをなんと言う？,ウィッグ,ウィッグ,アデランス,アートネイチャー
世界で最初に指定された国立公園は？,イエローストーン,グランドキャニオン,ナイヤガラ,イエローストーン
「ケンケン」と鳴く鳥は何？,キジ,キジ,ホオジロ,らいちょう
次のお菓子のうち魚の名前になっているのは？,コンペイトウ,コンペイトウ,カリントウ,アマナットウ
明治16年に始まった天気予報は当時どこに掲示された？,こうばん,ゆうびんポスト,こうばん,てつどうばしゃ
「あたりばこ」と言うのはどういう箱？,すずりばこ,ふくびきばこ,マッチばこ,すずりばこ
次にあげる楽器のうち 人の名前からついたものは？,サキソフォン,トランペット,サキソフォン,トロンボーン
次にあげる食べ物のうち 植物にも名前があるのは？,スブタ,スブタ,ギョウザ,タンメン
次の3人のうち ニンニクが嫌いな人物は？,ドラキュラ,ドラキュラ,ポパイ,ターザン
メスのライオンとオスのヒョウの間に生まれた子供をなんと言う？,レオポン,レオポン,ライガー,ライヒョウ
体温が最も高い動物は？,ニワトリ,ニワトリ,ゾウ,ネコ
ドラキュラ。原作によると身分は何？,はくしゃく,はくしゃく,こうしゃく,だんしゃく
次のうち「いなほ」が描かれているのは何円硬貨？,5えんだま,1えんだま,5えんだま,10えんだま
日本のタクシーのナンバープレートは何色？,みどり,みどり,あお,しろ
「したきりすずめ」ですずめは何をなめて舌を切られた？,のり,おさけ,のり,みそ
名探偵シャーロックホームズの相棒ワトスンの職業は？,いしゃ,いしゃ,べんごし,けいい
アサガオは何科に属する？,ヒルガオか,アサガオか,ヒルガオか,ヨルガオか
ネコが日本に伝えられたのは何時代？,へいあんじだい,じょうもんじだい,へいあんじだい,えどじだい
アフリカの山キリマンジャロはどこの国にある？,タンザニア,エジプト,マダガスカル,タンザニア
次の3人の中でデビューが一番早かったのは？,のぐちごろう,のぐちごろう,さいじょうひでき,ごうひろみ
ヨットで「かじ」のことをなんと言う？,ラダー,ヤダー,ラダー,イーダー
ウインナー、アメリカンといえばどんな飲み物？,コーヒー,コーラ,こうちゃ,コーヒー
「いきているかせき」と呼ばれるのは？,イチョウ,やなぎ,ポプラ,イチョウ
ＪＲ東日本のパック商品は？,びゅう,ひゅう,びゅう,ぴゅう
スカートの種類に無いのは？,セーラー,フレア,セーラー,タイト
ユリの名前にあるものは？,カサブランカ,バーグマン,ボガード,カサブランカ
チェスの駒は全部でいくつ？,32,24,32,40
忍者ハットリくんのライバルは？,ケムマキ,ジッポー,シンゾー,ケムマキ
「おうごんのあわゴールデンバブルス」と言われた飲み物は？,シャンパン,ビール,サイダー,シャンパン
ガリバーは小人の国で何人分の食料を貰った？,1728にんぶん,28にんぶん,728にんぶん,1728にんぶん
ローマ数字で「C」はいくつ？,100,100,500,1000
東京が「東京都」と呼ばれるようになったのは？,しょうわじだい,めいじじだい,たいしょうじだい,しょうわじだい
第11代アメリカ大統領の名前は？,ポーク,ポーク,ビーフ,チキン
日本初の宝くじ。1枚いくらだった？,10えん,1えん,5えん,10えん
自動車免許を持っていながらほとんど運転する機会が無い人は？,ペーパードライバー,ペーパードライバー,タクシードライバー,サンデードライバー
サンフランシスコ市警にいるのは？,ダーティーハリー,ダーティーハリー,コロンボけいぶ,けいじコジャック
焼酎を炭酸で割ると？,チュウハイ,チュウハイ,ジャクハイ,ショウハイ
「ノストラダムスの大予言」によると地球の滅亡は何年？,1999ねん,1900ねん,1999ねん,2000ねん
怠けたりサボったりすることを例えて｢何を売る」と言うか？,あぶら,からだ,かお,あぶら
二日酔いを抑えるために飲む酒は？,むかえざけ,むかえざけ,おくりざけ,コップざけ
「人民の人民による人民のための政治」と言った大統領は？,リンカーン,リンカーン,ジェファーソン,ルーズベルト
徳川幕府は15代続いたが室町幕府は？,15だい,10だい,15だい,20だい
水戸黄門。お供に連れているのはすけさんと誰？,かくさん,よたろう,かくさん,おくさん
「カズノコ」とはなんの卵？,ニシン,ニシン,サケ,タラ
音楽用語「ピアニシモ」は次のうちどの意味？,できるだけよわく,できるだけよわく,よわく,つよく
女子体操にない種目は？,あんば,ゆかうんどう,へいきんだい,あんば
映画「もえよ！ドラゴン」で世界の大スターとなったのは？,ブルース リー,ブルース チャン,ブルース リー,クリスト ファーリー
イギリスの大学でないのは？,ハーバード,オックスフォード,ケンブリッジ,ハーバード
パソコンでデータを記憶するのは？,ラム,ハム,ラム,ハラム
ローマ時代のパリの呼び名は？,ルテティア,パルティア,フランセティア,ルテティア
トルコ語で「ターバン」という意味の花は？,チューリップ,なのはな,チューリップ,バラ
オーストリアでクリスマスにだす魚は？,コイ,コイ,マス,サケ
「ねこまたぎ」とは次のどれ？,さかな,またたび,ごはん,さかな
親指姫にプロポーズした動物は？,もぐら,もぐら,とんぼ,つばめ
「ブッポーソー」と鳴く鳥は？,このはずく,みみずく,ふくろう,このはずく
「さくらにく」とはなんの肉？,ウマ,シカ,ウマ,イノシシ
次のうち最も重いのは？,1キログラム,1オンス,1ポンド,1キログラム
カシミアはなんの毛？,ヤギ,ヤギ,ヒツジ,ラクダ
真珠の単位は？,もんめ,グラム,カラット,もんめ
ツルの古い呼び名は？,たず,てず,ちず,たず
ドドメ色の「ドドメ」とはなんの植物の実？,クワ,クワ,グミ,ヤツデ
「ベネルックス３ごく」とはベルギー、オランダとあとひとつは？,ルクセンブルク,ルクセンブルク,デンマーク,ポーランド
歌手のみなみのようこ。ホクロはアゴのどの辺にある？,むかってひだりがわ,むかってみぎがわ,むかってひだりがわ,まんなか
糸のもつれを防ぐために用いる器具は？,たたり,おんねん,のろい,たたり
イタリアにある都市は？,バスト,バスト,ウエスト,ヒップ
スペイン語で「アホ」といえばなんのこと？,ニンニク,ショウガ,ワサビ,ニンニク
実際にいる動物は？,アラビアオリックス,アラビアロッテ,アラビアダイエー,アラビアオリックス
初めてパーマを発明した人は？,カールさん,パーマさん,カールさん,アイパーさん
グリム童話の「シンデレラ」「シンデレラ」の意味は？,はいかぶりのこむすめ,ほこりだらけのこむすめ,あせまみれのこむすめ,はいかぶりのこむすめ
中国の「ネイチャン」という街に流れている川の名前は？,トウチャン,カアチャン,トウチャン,アートネイチャン
ゴルフのカップの直径は？,やく11センチ,やく11センチ,やく15センチ,やく18センチ
実際にいる小鳥は？,ウソ,デタ,ウソ,マコト
渡りどりなのは？,ホトトギス,カルガモ,ホトトギス,キツツキ
「サルも木からおちる」イギリスでの言い方は？,ウマは4ほんあしでもつまづく,ウマは4ほんあしでもつまづく,イヌはかいぬしにもほえる,イノシシもときどきまがる
日本で最初に公衆トイレが設置されたのはどこ？,よこはま,とうきょう,よこはま,おおさか
アニメ「魔女の宅急便」にでてくる少女の名前は？,キキ,キキ,ミミ,メメ
ソビエトのゴルバチョフ大統領のニックネームは？,ゴルビー,ゴッキー,ゴルビー,ゴルピー
相撲の決まり手でないのは？,たいおとし,たいおとし,いさみあし,がっしょうひねり
江戸時代のそばのメニュー「あられ」でのりの上にのっていたのは？,かいばしら,こんぺいとう,かいばしら,ごはん
次のうち長さが400メートルなのは？,にほんいちながいほどうきょう,にほんいちながいえきのホーム,にほんいちながいほどうきょう,にほんいちながいきのベンチ
使い捨てブラジャーの名前は？,ブラシール,ブラステール,ブラシール,ブラブーラ
エジプトのミイラから発見された病気は？,しそうのうろう,みずむし,ちょうカタル,しそうのうろう
西洋料理のマナー違反は？,のみものをのこす,おしゃべりする,のみものをのこす,さかなをうらがえす
ジャマイカのアップテンポな音楽は？,スカ,ポカ,スカ,バカ
鳥の名前なのは？,ジュウイチ,ジュウイチ,ジュウニ,ジュウサン
オランダ語からきたのはどれ？,ラッパ,カッパ,ラッパ,スリッパ
俊足チーターの水玉模様の数は？,やく1500,やく500,やく1500,やく5000
海にいるタコの数え方は？,1ぱい2はい,1たば2たば,1ふさ2ふさ,1ぱい2はい
日本人で初めてネクタイをまいたといわれているのは？,ジョンまんじろう,さかもとりょうま,とくがわいえやす,ジョンまんじろう
実際にある草の名前は？,シカクイ,カタイ,シカクイ,マズイ
フランスで実際に行われたコンテストは？,くさったスニーカーコンテスト,くさったぼうしコンテスト,くさったパンツコンテスト,くさったスニーカーコンテスト
平安時代「ほくろ」のことをなんとよんだ？,ははくそ,はなくろ,ははくそ,はなくそ
釣り師が「ハゲ」とよぶ魚は？,カワハギ,フグ,カワハギ,ハゼ
レオナルド ダ ヴィンチが生まれたのは？,ヴィンチむら,レオナルドむら,ダむら,ヴィンチむら
60ぷんのカセットテープ。テープの長さは？,90メートル,60メートル,90メートル,120メートル
長崎にあるおばあちゃんだけのコーラスグループは？,ザ シワクチャーズ,ザ シラガーズ,ザ バアチャンズ,ザ シワクチャーズ
一番早く発明されたのは？,じどうしゃ,じどうしゃ,えいが,せんたくき
エスカレーターを最初に設置したのは？,みつこし,いせたん,たかしまや,みつこし
最も長い時間雨が降っているのは？,くもりのちあめ,くもりのちあめ,くもりときどきあめ,くもりいちじあめ
テレビの「メロドラマ」「メロ」ってどんな意味？,メロディー,メロディー,メロン,メロメロ
北海道より面積の狭い国は？,スイス,スイス,オーストリア,ポーランド
出身地が東京でないのは？,さいとうゆき,なかもりおきな,なかやまみほ,さいとうゆき
「ビッグエッグ」の屋根のの厚さは？,0.8ミリメートル,0.8ミリメートル,1.8ミリメートル,2.8ミリメートル
アメリカ南部の黒人の踊りは？,ケーキウォーク,アイスウォーク,ケーキウォーク,コーヒーウォーク
明石やさんまが歌った曲は？,サンキュー,ハロー,サンキュー,グッバイ
「おべんとうばこのうた」で「すじがとおった」と歌われているのは？,フキ,ゴボウ,セロリ,フキ
一番長生きをしたのは？,ピカソ,ピカソ,ゴッホ,ダ ヴィンチ
日付けが一番早く変わるのは？,とうきょう,とうきょう,ロンドン,ニューヨーク
ピーターパンが生まれた国は？,イギリス,アメリカ,イギリス,カナダ
南極にいるペンギンで一番大きな種類は？,コウテイペンギン,オオサマペンギン,コウテイペンギン,マゼランペンギン
世界でもっとも古いクイズ問題が残っている国は？,ギリシャ,ギリシャ,中国,メキシコ
アメリカで一番面積の広い都市は？,ロサンゼルス,ニューヨーク,ワシントン,ロサンゼルス
オーストラリアの切手の絵でサンタクロースがトナカイの代わりに使っているのは？,サーフィン,サーフィン,スケートボード,カンガルー
2枚の硬貨を投げたとき両方とも表がでる確率は？,4ぶんの1,2ぶんの1,4ぶんの1,8ぶんの1
東北新幹線の列車名でないのは？,みちのく,あおば,みちのく,やまびこ
「赤毛のアン」と結婚したのは？,ギルバート,チャック,ウィッキー,ギルバート
一番カロリーが高いのは？,スパゲッティー,スパゲッティー,そば,うどん
アンデルセン童話でないのは？,しらゆきひめ,にんぎょひめ,おやゆびひめ,しらゆきひめ
ベートーベンの父親の職業は？,かしゅ,やくにん,かしゅ,だいく
人間が飼いならした最初の動物は？,いぬ,うし,うま,いぬ
洞穴で冬眠しているクマは？,オスメスりょうほう,オスメスりょうほう,オスだけ,メスだけ
爪はもともとなに？,かわ,かわ,きんにく,ほね
雑誌の名前になっていないのは？,スーパーマン,ターザン,ポパイ,スーパーマン
もっとも水分の割合が多いのは？,のう,のう,しんぞう,かんぞう
ハワイに本当にあるのは？,いりタマゴのき,なまタマゴのき,ゆでタマゴのき,いりタマゴのき
メロンにつけられた商品名は？,ホームラン,ヒット,ホームラン,ふりにげ
学校給食がはじまったのは？,めいじじだい,めいじじだい,たいしょうじだい,しょうわじだい
日本の鉛筆。Bはいくつまで？,6B,6B,8B,11B
日本で「ウサギのもちつき」と言われた月の模様アメリカでは？,みずをくむひと,みずをくむひと,むぎをかるひと,きをきるひと
1升瓶1本分のハチミツを作るのに必要なレンゲの数は？,990000,90000,990000,9990000
ジャイアンツの桑田投手の誕生日は？,バレンタインデー,がんたん,バレンタインデー,エイプリルフール
日本で生まれたゴルフ用語は？,ニヤピン,チップイン,ホールインワン,ニヤピン
子供をおんぶして育てるのは？,オオアリクイ,カンガルー,オオアリクイ,パンダ
1秒間にはばたける回数が一番多いのは？,か,とんぼ,てんとうむし,か
次のうちアイスクリームは？,ゆきみだいふく,いちごだいふく,ばななだいふく,ゆきみだいふく
すしダネになるのは？,スズキ,タナカ,サトウ,スズキ
もともとウルトラマンが住んでいた国は？,ひかりのくに,たいようにくに,7いろのくに,ひかりのくに
くまの仲間でないのは？,アナグマ,アライグマ,アナグマ,ヒグマ
一番早く売り出されたのは？,ヤクルト,にっしんチキンラーメン,カルビーかっぱえびせん,ヤクルト
日本で初めて公衆電話が置かれたところは？,あたみおんせん,とうきょうぎんざ,あたみおんせん,ふじさんさんちょう
日本で実際に売られたタバコは？,オハヨー,オハヨー,コンニチハ,オヤスミ
ダンプカーの正式名は？,ダンプトラック,ダンプカート,ダンピングカー,ダンプトラック
「もなか」の皮の原料は？,もちごめ,とうもろこし,もちごめ,こむぎ
アーモンドの仲間は？,くり,かき,くり,もも
中国の郵便ポストの色は？,みどり,みどり,あか,きいろ
英語で「やきもち」を表す色は？,みどり,あか,きいろ,みどり
日本で最初にできた学校は？,だいがく,しょうがっこう,ちゅうがっこう,だいがく
法律で定められている温泉の温度は？,25どいじょう,25どいじょう,30どいじょう,35どいじょう
タラで作るのは「カマボコ」ではイクラで作ると？,クロボコ,クロボコ,ナベボコ,クマボコ
エスカレーターの語源は？,はしご,さかみち,はしご,すべりだい
応援団が「東京音頭」を歌うプロ野球チームは？,ヤクルト,きょじん,にっぽんハム,ヤクルト
鬼退治をしていないのは？,こぶとりじいさん,こぶとりじいさん,いっすんぼうし,ももたろう
上野動物園でクーラーを使っているのは？,おうさまペンギン,ほっきょくシロクマ,ゾウアザラシ,おうさまペンギン
200年前もっとも人口が多かった都市は？,ロンドン,ロンドン,えど,パリ
「つきのわグマ」にある月の輪の位置は？,むね,おでこ,むね,せなか
日本で初めて遊園地ができたのは？,ならけん,ひょうごけん,ならけん,きょうとふ
地球の引力がなかったら月はどうなる？,とんでいく,ちきゅうにくっつく,こなごなにくだけちる,とんでいく
世界で初めてカラーでテレビ放送をした国は？,アメリカ,にほん,アメリカ,イギリス
地球の水のうち川の水の割合は？,0.0001パーセント,0.0001パーセント,0.01パーセント,1パーセント
一番ひどい状態の虫歯は？,C4,C2,C4,C6
大人ゾウの100メートルの全力疾走のタイムは？,やく13びょう,やく13びょう,やく33びょう,やく53びょう
ダイヤモンドを磨くのに使うのは？,ダイヤモンドのこな,ダイヤモンドのこな,クレンザー,さてつ
昆虫の中でもっとも視力が良いとされているのは？,トンボ,バッタ,トンボ,カブトムシ
電話帳に載る順番がはやいのは？,よこもじ,ひらがな,カタカナ,よこもじ
雲の名前についていない魚は？,アジ,イクラ,サバ,アジ
たまごのギフト券は？,らんらん,らんらん,たまたま,ぎょくぎょく
ドイツ語で「くるま」という意味をもつものは？,ワーゲン,ベンツ,ワーゲン,ポルシェ
人をだますことを何を抜くという？,はなげ,すねげ,はなげ,まつげ
ケチャップの語源はどこの国から？,ちゅうごく,ちゅうごく,フランス,イタリア
漫画「スヌーピー」の飼い主チャーリーブラウンの妹は？,サリー,ジュリー,マリー,サリー
次のうち海の生き物は？,カシパン,カシパン,ショクパン,コッペパン
卓球の最高位は？,10だん,5だん,7だん,10だん
ミツバチに見えない色は？,あか,あか,あお,きいろ
次の中で一番温泉が多いのは？,にしドイツ,イギリス,フランス,にしドイツ
童謡「ぞうさん」でぞうさんの好きなものは？,かあさん,かあさん,ながいはな,ひとみ
平安時代の日本になかったものは？,しょうゆ,おちゃ,みそ,しょうゆ
中国のおまつりは？,ニャンニャンまつり,ワンワンまつり,ニャンニャンまつり,メェメェまつり
水に沈むものは？,ジャガイモ,カボチャ,ジャガイモ,タマネギ
「きなこ」とはなんのこな？,だいず,アワ,だいず,きな
オスがメスより大きい鳥は？,コンドル,ハヤブサ,コンドル,フクロウ
燃やすと黒いけむりをだすものは？,ポリエステル,ナイロン,アクリル,ポリエステル
マンガ雑誌は？,LALA,CANCAN,LALA,JJ
英語で「インディアンインク」とは？,すみ,うしの ち,ペンキ,すみ
ナマケモノが泳ぐスタイルは？,いぬかき,はいえい,クロール,いぬかき
人間の体重が一番軽くなるのは？,せきどう,なんきょく,せきどう,ほっきょく
漫画「サザエさん」の家族で食べ物の名前がつくのは何人？,5にん,5にん,6にん,7にん
一番やわらかい宝石は？,エメラルド,サファイア,ルビー,エメラルド
もっとも軽いガスは？,すいそガス,ヘリウムガス,アルゴンガス,すいそガス
彗星は何日で太陽をひとまわりする？,88にち,44にち,88にち,178にち
次の動物の中で日本に最初におめみえした動物は？,パンダ,コアラ,エリマキトカゲ,パンダ
注射器を考えたのはイギリス。では注射器のポンプを考えたのは？,フランス,にほん,フランス,ドイツ
冬眠をはじめたクマの体温は？,ひくくなる,ひくくなる,たかくなる,かわらない
カセットテープのテープ幅は？,5.8ミリ,3.0ミリ,4.0ミリ,5.8ミリ
